Country,ISO3 Code,Datetime (Local),Price (EUR/MWhe)
Germany,DEU,01/09/2023 00:00,98.9
Germany,DEU,01/09/2023 01:00,95.97
Germany,DEU,01/09/2023 02:00,93.29
Germany,DEU,01/09/2023 03:00,93.07
Germany,DEU,01/09/2023 04:00,94.08
Germany,DEU,01/09/2023 05:00,97.2
Germany,DEU,01/09/2023 06:00,112.04
Germany,DEU,01/09/2023 07:00,128.43
Germany,DEU,01/09/2023 08:00,129.43
Germany,DEU,01/09/2023 09:00,111.3
Germany,DEU,01/09/2023 10:00,102.22
Germany,DEU,01/09/2023 11:00,96.52
Germany,DEU,01/09/2023 12:00,92.02
Germany,DEU,01/09/2023 13:00,88.9
Germany,DEU,01/09/2023 14:00,89.23
Germany,DEU,01/09/2023 15:00,92.02
Germany,DEU,01/09/2023 16:00,96.57
Germany,DEU,01/09/2023 17:00,107.61
Germany,DEU,01/09/2023 18:00,127.15
Germany,DEU,01/09/2023 19:00,151.52
Germany,DEU,01/09/2023 20:00,147.34
Germany,DEU,01/09/2023 21:00,127.7
Germany,DEU,01/09/2023 22:00,118.56
Germany,DEU,01/09/2023 23:00,114.65
Germany,DEU,02/09/2023 00:00,107.46
Germany,DEU,02/09/2023 01:00,102.7
Germany,DEU,02/09/2023 02:00,100
Germany,DEU,02/09/2023 03:00,95.9
Germany,DEU,02/09/2023 04:00,96.4
Germany,DEU,02/09/2023 05:00,100.2
Germany,DEU,02/09/2023 06:00,101.02
Germany,DEU,02/09/2023 07:00,101.09
Germany,DEU,02/09/2023 08:00,100.22
Germany,DEU,02/09/2023 09:00,94.58
Germany,DEU,02/09/2023 10:00,89.77
Germany,DEU,02/09/2023 11:00,79.9
Germany,DEU,02/09/2023 12:00,76
Germany,DEU,02/09/2023 13:00,62.99
Germany,DEU,02/09/2023 14:00,55.35
Germany,DEU,02/09/2023 15:00,69.4
Germany,DEU,02/09/2023 16:00,80.01
Germany,DEU,02/09/2023 17:00,93.45
Germany,DEU,02/09/2023 18:00,110
Germany,DEU,02/09/2023 19:00,121.79
Germany,DEU,02/09/2023 20:00,126.8
Germany,DEU,02/09/2023 21:00,115.19
Germany,DEU,02/09/2023 22:00,105.64
Germany,DEU,02/09/2023 23:00,97.34
Germany,DEU,03/09/2023 00:00,105.28
Germany,DEU,03/09/2023 01:00,101.03
Germany,DEU,03/09/2023 02:00,101.94
Germany,DEU,03/09/2023 03:00,101.64
Germany,DEU,03/09/2023 04:00,100.37
Germany,DEU,03/09/2023 05:00,99.03
Germany,DEU,03/09/2023 06:00,98.18
Germany,DEU,03/09/2023 07:00,94.43
Germany,DEU,03/09/2023 08:00,89.54
Germany,DEU,03/09/2023 09:00,82.8
Germany,DEU,03/09/2023 10:00,60.3
Germany,DEU,03/09/2023 11:00,43.43
Germany,DEU,03/09/2023 12:00,21.37
Germany,DEU,03/09/2023 13:00,11.33
Germany,DEU,03/09/2023 14:00,4.94
Germany,DEU,03/09/2023 15:00,15.71
Germany,DEU,03/09/2023 16:00,53.66
Germany,DEU,03/09/2023 17:00,94.43
Germany,DEU,03/09/2023 18:00,110.03
Germany,DEU,03/09/2023 19:00,125.19
Germany,DEU,03/09/2023 20:00,138.59
Germany,DEU,03/09/2023 21:00,119.32
Germany,DEU,03/09/2023 22:00,109.83
Germany,DEU,03/09/2023 23:00,101.17
Germany,DEU,04/09/2023 00:00,100.85
Germany,DEU,04/09/2023 01:00,94.49
Germany,DEU,04/09/2023 02:00,93.14
Germany,DEU,04/09/2023 03:00,93.59
Germany,DEU,04/09/2023 04:00,93.19
Germany,DEU,04/09/2023 05:00,103.38
Germany,DEU,04/09/2023 06:00,127.33
Germany,DEU,04/09/2023 07:00,144.33
Germany,DEU,04/09/2023 08:00,129.92
Germany,DEU,04/09/2023 09:00,109.36
Germany,DEU,04/09/2023 10:00,92.88
Germany,DEU,04/09/2023 11:00,82.07
Germany,DEU,04/09/2023 12:00,77.65
Germany,DEU,04/09/2023 13:00,72.51
Germany,DEU,04/09/2023 14:00,72.04
Germany,DEU,04/09/2023 15:00,80.4
Germany,DEU,04/09/2023 16:00,90.97
Germany,DEU,04/09/2023 17:00,109.58
Germany,DEU,04/09/2023 18:00,138.44
Germany,DEU,04/09/2023 19:00,198.28
Germany,DEU,04/09/2023 20:00,172.77
Germany,DEU,04/09/2023 21:00,124.95
Germany,DEU,04/09/2023 22:00,105.01
Germany,DEU,04/09/2023 23:00,95.56
Germany,DEU,05/09/2023 00:00,94.48
Germany,DEU,05/09/2023 01:00,92.13
Germany,DEU,05/09/2023 02:00,91.34
Germany,DEU,05/09/2023 03:00,91.08
Germany,DEU,05/09/2023 04:00,91.65
Germany,DEU,05/09/2023 05:00,95.6
Germany,DEU,05/09/2023 06:00,120
Germany,DEU,05/09/2023 07:00,126
Germany,DEU,05/09/2023 08:00,118.16
Germany,DEU,05/09/2023 09:00,97.78
Germany,DEU,05/09/2023 10:00,88
Germany,DEU,05/09/2023 11:00,81.85
Germany,DEU,05/09/2023 12:00,75.9
Germany,DEU,05/09/2023 13:00,75.05
Germany,DEU,05/09/2023 14:00,77.13
Germany,DEU,05/09/2023 15:00,83
Germany,DEU,05/09/2023 16:00,88.51
Germany,DEU,05/09/2023 17:00,103.26
Germany,DEU,05/09/2023 18:00,129.1
Germany,DEU,05/09/2023 19:00,184.87
Germany,DEU,05/09/2023 20:00,154.53
Germany,DEU,05/09/2023 21:00,121.95
Germany,DEU,05/09/2023 22:00,107.61
Germany,DEU,05/09/2023 23:00,96.03
Germany,DEU,06/09/2023 00:00,88.89
Germany,DEU,06/09/2023 01:00,85.52
Germany,DEU,06/09/2023 02:00,90.53
Germany,DEU,06/09/2023 03:00,92.12
Germany,DEU,06/09/2023 04:00,92.48
Germany,DEU,06/09/2023 05:00,102.98
Germany,DEU,06/09/2023 06:00,122.71
Germany,DEU,06/09/2023 07:00,141.99
Germany,DEU,06/09/2023 08:00,119.19
Germany,DEU,06/09/2023 09:00,97.73
Germany,DEU,06/09/2023 10:00,88.65
Germany,DEU,06/09/2023 11:00,82.1
Germany,DEU,06/09/2023 12:00,75.17
Germany,DEU,06/09/2023 13:00,73.43
Germany,DEU,06/09/2023 14:00,75.48
Germany,DEU,06/09/2023 15:00,82.5
Germany,DEU,06/09/2023 16:00,91.44
Germany,DEU,06/09/2023 17:00,105.87
Germany,DEU,06/09/2023 18:00,145.83
Germany,DEU,06/09/2023 19:00,189.83
