No,Transaction date,House price of unit area ($/sq.feet),House age (months old),Distance to the nearest bus station (in metres),Number of convenience stores,Direction_facing,Balcony
1,04/07/2024,37.9,32,84.87882,10,South,No
2,04/07/2024,42.2,19.5,306.5947,9,West,No
3,05/07/2024,47.3,13.3,561.9845,5,North,No
4,05/07/2024,54.8,13.3,561.9845,5,North,Yes
5,04/07/2024,43.1,5,390.5684,5,West,Yes
6,04/07/2024,32.1,7.1,2175.03,3,North,Yes
7,04/07/2024,40.3,34.5,623.4731,7,South,No
8,05/07/2024,46.7,20.3,287.6025,6,North,Yes
9,05/07/2024,18.8,31.7,5512.038,1,South,No
10,05/07/2024,22.1,17.9,1783.18,3,East,Yes
11,05/07/2024,41.4,34.8,405.2134,1,West,Yes
12,05/07/2024,58.1,6.3,90.45606,9,North,No
13,04/07/2024,39.3,13,492.2313,5,West,Yes
14,04/07/2024,23.8,20.4,2469.645,4,East,Yes
15,05/07/2024,34.3,13.2,1164.838,4,West,No
16,05/07/2024,50.5,35.7,579.2083,2,South,Yes
17,05/07/2024,70.1,0,292.9978,6,South,No
18,04/07/2024,37.4,17.7,350.8515,1,South,Yes
19,05/07/2024,42.3,16.9,368.1363,8,North,Yes
20,04/07/2024,47.7,1.5,23.38284,7,East,No
21,05/07/2024,29.3,4.5,2275.877,3,North,No
22,05/07/2024,51.6,10.5,279.1726,7,East,Yes
23,04/07/2024,24.6,14.7,1360.139,1,North,Yes
24,05/07/2024,47.9,10.1,279.1726,7,West,Yes
25,05/07/2024,38.8,39.6,480.6977,4,South,No
26,05/07/2024,27,29.3,1487.868,2,West,Yes
27,04/07/2024,56.2,3.1,383.8624,5,South,No
28,05/07/2024,33.6,10.4,276.449,5,West,Yes
29,05/07/2024,47,19.2,557.478,4,East,Yes
30,05/07/2024,57.1,7.1,451.2438,5,East,No
31,05/07/2024,22.1,25.9,4519.69,0,South,Yes
32,04/07/2024,25,29.6,769.4034,7,South,Yes
33,04/07/2024,34.2,37.9,488.5727,1,East,No
34,05/07/2024,49.3,16.5,323.655,6,West,Yes
35,04/07/2024,55.1,15.4,205.367,7,East,No
36,05/07/2024,27.3,13.9,4079.418,0,West,No
37,04/07/2024,22.9,14.7,1935.009,2,West,No
38,05/07/2024,25.3,12,1360.139,1,South,No
39,04/07/2024,47.7,3.1,577.9615,6,East,No
40,05/07/2024,46.2,16.2,289.3248,5,East,No
41,05/07/2024,15.9,13.6,4082.015,0,West,Yes
42,05/07/2024,18.2,16.8,4066.587,0,South,Yes
43,05/07/2024,34.7,36.1,519.4617,5,South,No
44,04/07/2024,34.1,34.4,512.7871,6,South,No
45,05/07/2024,53.9,2.7,533.4762,4,North,No
46,05/07/2024,38.3,36.6,488.8193,8,North,Yes
47,05/07/2024,42,21.7,463.9623,9,North,No
48,05/07/2024,61.5,35.9,640.7391,3,East,Yes
49,05/07/2024,13.4,24.2,4605.749,0,East,No
50,04/07/2024,13.2,29.4,4510.359,1,East,No
51,05/07/2024,44.2,21.7,512.5487,4,South,No
52,05/07/2024,20.7,31.3,1758.406,1,North,No
53,05/07/2024,27,32.1,1438.579,3,North,No
54,05/07/2024,38.9,13.3,492.2313,5,East,Yes
55,05/07/2024,51.7,16.1,289.3248,5,South,No
56,04/07/2024,13.7,31.7,1160.632,0,West,No
57,05/07/2024,41.9,33.6,371.2495,8,North,Yes
58,04/07/2024,53.5,3.5,56.47425,7,West,No
59,05/07/2024,22.6,30.3,4510.359,1,South,No
60,05/07/2024,42.4,13.3,336.0532,5,East,Yes
61,05/07/2024,21.3,11,1931.207,2,North,Yes
62,05/07/2024,63.2,5.3,259.6607,6,North,Yes
63,04/07/2024,27.7,17.2,2175.877,3,West,No
64,05/07/2024,55,2.6,533.4762,4,East,No
65,05/07/2024,25.3,17.5,995.7554,0,South,Yes
66,05/07/2024,44.3,40.1,123.7429,8,North,No
67,05/07/2024,50.7,1,193.5845,6,East,Yes
68,05/07/2024,56.8,8.5,104.8101,5,South,Yes
69,05/07/2024,36.2,30.4,464.223,6,East,No
70,04/07/2024,42,12.5,561.9845,5,East,Yes
71,05/07/2024,59,6.6,90.45606,9,West,No
72,05/07/2024,40.8,35.5,640.7391,3,West,No
73,05/07/2024,36.3,32.5,424.5442,8,East,No
74,05/07/2024,20,13.8,4082.015,0,North,Yes
75,04/07/2024,54.4,6.8,379.5575,10,West,Yes
76,05/07/2024,29.5,12.3,1360.139,1,North,No
77,05/07/2024,36.8,35.9,616.4004,3,North,No
78,04/07/2024,25.6,20.5,2185.128,3,East,Yes
79,04/07/2024,29.8,38.2,552.4371,2,South,No
80,05/07/2024,26.5,18,1414.837,1,South,No
81,05/07/2024,40.3,11.8,533.4762,4,West,No
82,05/07/2024,36.8,30.8,377.7956,6,East,Yes
83,05/07/2024,48.1,13.2,150.9347,7,West,No
84,04/07/2024,17.7,25.3,2707.392,3,South,Yes
85,05/07/2024,43.7,15.1,383.2805,7,West,No
86,04/07/2024,50.8,0,338.9679,9,East,Yes
87,04/07/2024,27,1.8,1455.798,1,East,No
88,05/07/2024,18.3,16.9,4066.587,0,West,No
89,04/07/2024,48,8.9,1406.43,0,East,No
90,05/07/2024,25.3,23,3947.945,0,East,No
91,04/07/2024,45.4,0,274.0144,1,West,Yes
92,05/07/2024,43.2,9.1,1402.016,0,South,No
93,04/07/2024,21.8,20.6,2469.645,4,South,Yes
94,04/07/2024,16.1,31.9,1146.329,0,East,Yes
95,04/07/2024,41,40.9,167.5989,5,West,Yes
96,04/07/2024,51.8,8,104.8101,5,East,Yes
97,05/07/2024,59.5,6.4,90.45606,9,North,Yes
98,05/07/2024,34.6,28.4,617.4424,3,West,Yes
99,05/07/2024,51,16.4,289.3248,5,West,No
100,05/07/2024,62.2,6.4,90.45606,9,North,No
101,05/07/2024,38.2,17.5,964.7496,4,North,Yes
102,04/07/2024,32.9,12.7,170.1289,1,North,No
103,05/07/2024,54.4,1.1,193.5845,6,North,Yes
104,04/07/2024,45.7,0,208.3905,6,West,Yes
105,04/07/2024,30.5,32.7,392.4459,6,West,Yes
106,04/07/2024,71,0,292.9978,6,West,No
107,05/07/2024,47.1,17.2,189.5181,8,West,Yes
108,05/07/2024,26.6,12.2,1360.139,1,North,No
109,05/07/2024,34.1,31.4,592.5006,2,East,No
110,05/07/2024,28.4,4,2147.376,3,South,Yes
111,05/07/2024,51.6,8.1,104.8101,5,North,No
112,05/07/2024,39.4,33.3,196.6172,7,East,No
113,05/07/2024,23.1,9.9,2102.427,3,North,No
114,05/07/2024,7.6,14.8,393.2606,6,South,No
115,04/07/2024,53.3,30.6,143.8383,8,North,Yes
116,05/07/2024,46.4,20.6,737.9161,2,East,Yes
117,05/07/2024,12.2,30.9,6396.283,1,East,No
118,05/07/2024,13,13.6,4197.349,0,South,Yes
119,05/07/2024,30.6,25.3,1583.722,3,South,No
120,05/07/2024,59.6,16.6,289.3248,5,South,No
121,05/07/2024,31.3,13.3,492.2313,5,North,No
122,05/07/2024,48,13.6,492.2313,5,South,No
123,05/07/2024,32.5,31.5,414.9476,4,East,Yes
124,05/07/2024,45.5,0,185.4296,0,South,No
125,04/07/2024,57.4,9.9,279.1726,7,West,No
126,05/07/2024,48.6,1.1,193.5845,6,East,No
127,05/07/2024,62.9,38.6,804.6897,4,East,Yes
128,05/07/2024,55,3.8,383.8624,5,South,Yes
129,05/07/2024,60.7,41.3,124.9912,6,East,No
130,05/07/2024,41,38.5,216.8329,7,West,Yes
131,05/07/2024,37.5,29.6,535.527,8,East,Yes
132,05/07/2024,30.7,4,2147.376,3,East,Yes
133,05/07/2024,37.5,26.6,482.7581,5,South,No
134,04/07/2024,39.5,18,373.3937,8,East,No
135,04/07/2024,42.2,33.4,186.9686,6,West,No
136,04/07/2024,20.8,18.9,1009.235,0,South,Yes
137,04/07/2024,46.8,11.4,390.5684,5,East,Yes
138,05/07/2024,47.4,13.6,319.0708,6,South,Yes
