car_ID,CarName,fueltype,wheelbase,carlength,carwidth,carheight,cylindernumber,horsepower,peakrpm,highwaympg,price
1,alfa-romero giulia,0,88.6,168.8,64.1,48.8,four,111,5000,27,13495
2,alfa-romero stelvio,0,88.6,168.8,64.1,48.8,four,111,5000,27,16500
3,alfa-romero Quadrifoglio,0,94.5,171.2,65.5,52.4,six,154,5000,26,16500
4,audi 100 ls,0,99.8,176.6,66.2,54.3,four,102,5500,30,13950
5,audi 100ls,0,99.4,176.6,66.4,54.3,five,115,5500,22,17450
6,audi fox,0,99.8,177.3,66.3,53.1,five,110,5500,25,15250
7,audi 100ls,0,105.8,192.7,71.4,55.7,five,110,5500,25,17710
8,audi 5000,0,105.8,192.7,71.4,55.7,five,110,5500,25,18920
9,audi 4000,0,105.8,192.7,71.4,55.9,five,140,5500,20,23875
10,audi 5000s (1),0,99.5,178.2,67.9,52,five,160,5500,22,17859
11,bmw 320i,0,101.2,176.8,64.8,54.3,four,101,5800,29,16430
12,bmw 320i,0,101.2,176.8,64.8,54.3,four,101,5800,29,16925
13,bmw x1,0,101.2,176.8,64.8,54.3,six,121,4250,28,20970
14,bmw x3,0,101.2,176.8,64.8,54.3,six,121,4250,28,21105
15,bmw z4,0,103.5,189,66.9,55.7,six,121,4250,25,24565
16,bmw x4,0,103.5,189,66.9,55.7,six,182,5400,22,30760
17,bmw x5,0,103.5,193.8,67.9,53.7,six,182,5400,22,41315
18,bmw x3,0,110,197,70.9,56.3,six,182,5400,20,36880
19,chevrolet impala,0,88.4,141.1,60.3,53.2,three,48,5100,53,5151
20,chevrolet monte carlo,0,94.5,155.9,63.6,52,four,70,5400,43,6295
21,chevrolet vega 2300,0,94.5,158.8,63.6,52,four,70,5400,43,6575
22,dodge rampage,0,93.7,157.3,63.8,50.8,four,68,5500,41,5572
23,dodge challenger se,0,93.7,157.3,63.8,50.8,four,68,5500,38,6377
24,dodge d200,0,93.7,157.3,63.8,50.8,four,102,5500,30,7957
