date,total_deaths,covid_deaths
2017-01-01,62270.0,1291.0
2017-01-08,55860.0,3581.0
2017-01-15,60390.0,11649.0
2017-01-22,68418.0,7554.0
2017-01-29,60191.0,7280.0
2017-02-05,66964.0,1636.0
2017-02-12,66284.0,3696.0
2017-02-19,60734.0,11191.0
2017-02-26,61265.0,11344.0
2017-03-05,55466.0,698.0
2017-03-12,,10352.0
2017-03-19,59426.0,4737.0
2017-03-26,60578.0,854.0
2017-04-02,69423.0,8164.0
2017-04-09,66636.0,5855.0
2017-04-16,66363.0,7392.0
2017-04-23,66111.0,6528.0
2017-04-30,63322.0,11666.0
2017-05-07,56685.0,5249.0
2017-05-14,55769.0,5172.0
2017-05-21,65583.0,1707.0
2017-05-28,68803.0,10969.0
2017-06-04,61949.0,5791.0
2017-06-11,57433.0,
2017-06-18,60311.0,5535.0
2017-06-25,60051.0,4931.0
2017-07-02,61420.0,3510.0
2017-07-09,56184.0,202.0
2017-07-16,59555.0,11447.0
2017-07-23,58385.0,4218.0
2017-07-30,67309.0,8958.0
2017-08-06,61396.0,4389.0
2017-08-13,68035.0,2327.0
2017-08-20,66096.0,8004.0
2017-08-27,63666.0,2931.0
2017-09-03,64274.0,7777.0
2017-09-10,57558.0,197.0
2017-09-17,62849.0,7125.0
2017-09-24,57047.0,1930.0
2017-10-01,57747.0,11774.0
2017-10-08,64167.0,6287.0
2017-10-15,64998.0,8800.0
2017-10-22,55189.0,11464.0
2017-10-29,57734.0,9339.0
2017-11-05,58005.0,4282.0
2017-11-12,59658.0,11589.0
2017-11-19,56899.0,2511.0
2017-11-26,62734.0,9986.0
2017-12-03,56267.0,659.0
2017-12-10,56528.0,2811.0
2017-12-17,66394.0,7098.0
2017-12-24,58556.0,6546.0
2017-12-31,58890.0,9561.0
2018-01-07,63838.0,1986.0
2018-01-14,69356.0,8338.0
2018-01-21,66080.0,11411.0
2018-01-28,69502.0,2911.0
2018-02-04,60393.0,1734.0
2018-02-11,65627.0,1843.0
2018-02-18,63792.0,8680.0
2018-02-25,65555.0,2976.0
2018-03-04,65253.0,1959.0
2018-03-11,63433.0,5759.0
2018-03-18,65233.0,
2018-03-25,66016.0,2385.0
2018-04-01,62513.0,11111.0
2018-04-08,57612.0,4736.0
2018-04-15,,1802.0
2018-04-22,64555.0,8155.0
2018-04-29,,8120.0
2018-05-06,60486.0,6616.0
2018-05-13,62099.0,5534.0
2018-05-20,,4061.0
2018-05-27,65748.0,11561.0
2018-06-03,55775.0,262.0
2018-06-10,67206.0,6287.0
2018-06-17,63226.0,8815.0
2018-06-24,69541.0,9208.0
2018-07-01,58152.0,11835.0
2018-07-08,65147.0,2049.0
2018-07-15,56585.0,5423.0
2018-07-22,,11915.0
2018-07-29,62555.0,4548.0
2018-08-05,58073.0,3108.0
2018-08-12,56021.0,7158.0
2018-08-19,66653.0,10248.0
2018-08-26,65805.0,7400.0
2018-09-02,,3170.0
2018-09-09,58843.0,9874.0
2018-09-16,62989.0,2255.0
2018-09-23,64692.0,1154.0
2018-09-30,67990.0,4499.0
2018-10-07,69737.0,6295.0
2018-10-14,61873.0,6197.0
2018-10-21,60675.0,11383.0
2018-10-28,55161.0,9888.0
2018-11-04,59297.0,1648.0
2018-11-11,,5539.0
2018-11-18,55995.0,9637.0
2018-11-25,69605.0,4199.0
2018-12-02,68103.0,8445.0
2018-12-09,66534.0,11375.0
2018-12-16,67743.0,2557.0
2018-12-23,62629.0,5592.0
2018-12-30,66990.0,98.0
2019-01-06,64467.0,2200.0
2019-01-13,56016.0,2961.0
2019-01-20,62869.0,4973.0
2019-01-27,61439.0,4433.0
2019-02-03,62892.0,11969.0
2019-02-10,61863.0,2869.0
2019-02-17,62916.0,11426.0
2019-02-24,63529.0,11983.0
