Country,Continent,Population
Slovenia,Europe,2078654
Portugal,Europe,10295909
Nigeria,Africa,206139589
South Africa,Africa,59308690
Myanmar,Asia,54409800
Tonga,Oceania,105695
Slovakia,Europe,5456362
Papua New Guinea,Oceania,8947027
Saint Vincent and the Grenadines,North America,110947
Nepal,Asia,29136808
Peru,South America,32971846
United States,North America,331002651
Serbia,Europe,6963764
Vanuatu,Oceania,307150
Switzerland,Europe,8654622
Mexico,North America,127575529
Namibia,Africa,2540905
Mexico,North America,127575529
Romania,Europe,19405156
Taiwan,Asia,23816775
Seychelles,Africa,98347
San Marino,Europe,33931
Sweden,Europe,10353442
Uzbekistan,Asia,34232050
Romania,Europe,19405156
Ukraine,Europe,41855004
Turkmenistan,Asia,6031187
Mayotte (France),Africa,266150
United Arab Emirates,Asia,9890400
South Korea,Asia,51269185
Nauru,Oceania,10834
Namibia,Africa,2540905
Nepal,Asia,29136808
Somalia,Africa,15893222
Turkey,Asia,84339067
Rwanda,Africa,12626950
South Korea,Asia,51269185
Sierra Leone,Africa,7976983
Tanzania,Africa,59734218
United Kingdom,Europe,66834405
Monaco,Europe,38964
Yemen,Asia,29825964
Venezuela,South America,28435943
Saudi Arabia,Asia,34268528
United States,North America,331002651
Mongolia,Asia,3225167
Syria,Asia,17500657
Taiwan,Asia,23816775
Syria,Asia,17500657
Romania,Europe,19405156
Paraguay,South America,7132530
Oman,Asia,5106626
United States,North America,331002651
Nepal,Asia,29136808
Peru,South America,32971846
Yemen,Asia,29825964
Mongolia,Asia,3225167
Papua New Guinea,Oceania,8947027
Nepal,Asia,29136808
Serbia,Europe,6963764
Syria,Asia,17500657
San Marino,Europe,33931
Tajikistan,Asia,9127000
Tonga,Oceania,105695
Mayotte (France),Africa,266150
Sao Tome and Principe,Africa,219159
Tuvalu,Oceania,11792
Ukraine,Europe,41855004
Tuvalu,Oceania,11792
Moldova,Europe,4043263
Trinidad and Tobago,North America,1399488
Mexico,North America,127575529
Zimbabwe,Africa,14862924
Sudan,Africa,43849260
Niger,Africa,24206636
Oman,Asia,5106626
Uganda,Africa,45741000
Uzbekistan,Asia,34232050
Senegal,Africa,16743927
Vanuatu,Oceania,307150
Taiwan,Asia,23816775
Russia,Europe,145912025
South Korea,Asia,51269185
Tanzania,Africa,59734218
Poland,Europe,38386000
Namibia,Africa,2540905
United Kingdom,Europe,66834405
Suriname,South America,586634
Tanzania,Africa,59734218
Russia,Europe,145912025
Vanuatu,Oceania,307150
South Africa,Africa,59308690
Tunisia,Africa,11818618
United Kingdom,Europe,66834405
Tanzania,Africa,59734218
Myanmar,Asia,54409800
Nigeria,Africa,206139589
Turkmenistan,Asia,6031187
Sri Lanka,Asia,21803000
Myanmar,Asia,54409800
